Materials,adsorption_energy
Ni_1@RuO2(100)_1#OOH,3.7458
Ni_1@RuO2(100)_2#O,1.7478
Ni_1@RuO2(100)_2#OH,0.5839
Ni_1@RuO2(101)_1#O,3.542
Ni_1@RuO2(101)_1#OH,1.2795
Ni_1@RuO2(101)_1#OOH,3.9306
Ni_1@RuO2(101)_2#O,1.9579
Ni_1@RuO2(101)_2#OH,0.6433
Ni_1@RuO2(101)_2#OOH,3.508
Ni_1@RuO2(110)_1#O,3.1875
Ni_1@RuO2(110)_1#OH,1.0405
Ni_1@RuO2(110)_1#OOH,3.9701
Ni_1@RuO2(110)_2#O,1.6473
Ni_1@RuO2(110)_2#OH,0.4544
Ni_1@RuO2(110)_2#OOH,3.3443
Ni_1@RuO2(111)_1#O,3.6341
Ni_1@RuO2(111)_1#OH,1.3517
Ni_1@RuO2(111)_1#OOH,3.9329
Ni_2@IrO2(001)_1#O,2.2972
Ni_2@IrO2(001)_1#OH,0.6575
Ni_2@IrO2(001)_1#OOH,3.5955
Ni_2@IrO2(110)_1#O,1.624
Ni_2@IrO2(110)_1#OH,-0.1456
Ni_2@IrO2(110)_1#OOH,2.8086
Ni_2@IrO2(111)_1#O,2.2025
Ni_2@IrO2(111)_1#OH,0.5429
Ni_2@IrO2(111)_1#OOH,3.3751
Ni_2@RuO2(001)_1#O,1.945
Ni_2@RuO2(001)_1#OH,0.795
Ni_2@RuO2(001)_1#OOH,3.7455
Ni_2@RuO2(110)_1#O,1.613
Ni_2@RuO2(110)_1#OH,0.4326
Ni_2@RuO2(110)_1#OOH,3.4432
Ni_2@RuO2(111)_1#O,1.8871
Ni_2@RuO2(111)_1#OH,0.74
Ni_2@RuO2(111)_1#OOH,3.6912
Ru_1@IrO2(001)_1#O,1.6141
Ru_1@IrO2(001)_1#OH,0.3565
Ru_1@IrO2(001)_1#OOH,3.3225
Ru_1@IrO2(100)_1#O,1.3928
Ru_1@IrO2(100)_1#OH,0.2365
Ru_1@IrO2(100)_1#OOH,3.0952
Ru_1@IrO2(100)_2#O,1.5206
Ru_1@IrO2(100)_2#OH,-0.0795
Ru_1@IrO2(100)_2#OOH,2.8547
Ru_1@IrO2(101)_1#O,1.6603
Ru_1@IrO2(101)_1#OH,0.3181
Ru_1@IrO2(101)_1#OOH,3.6547
Ru_1@IrO2(101)_2#O,1.9111
Ru_1@IrO2(101)_2#OH,0.0923
Ru_1@IrO2(101)_2#OOH,3.4395
Ru_1@IrO2(110)_1#O,1.3433
Ru_1@IrO2(110)_1#OH,0.1837
Ru_1@IrO2(110)_1#OOH,2.957
Ru_1@IrO2(110)_2#O,1.6092
Ru_1@IrO2(110)_2#OH,-0.0947
Ru_1@IrO2(110)_2#OOH,2.7681
Ru_1@IrO2(111)_1#O,1.5365
Ru_1@IrO2(111)_1#OH,0.4289
Ru_1@IrO2(111)_1#OOH,3.3751
Ru_2@IrO2(001)_1#O,2.2806
Ru_2@IrO2(001)_1#OH,0.6856
Ru_2@IrO2(001)_1#OOH,3.6696
Ru_2@IrO2(110)_1#O,1.6576
Ru_2@IrO2(110)_1#OH,-0.0554
Ru_2@IrO2(110)_1#OOH,2.7861
Ru_2@IrO2(111)_1#O,1.9345
Ru_2@IrO2(111)_1#OH,0.1941
Ru_2@IrO2(111)_1#OOH,3.1703
Ru_2@RuO2(001)_1#O,1.7988
Ru_2@RuO2(001)_1#OH,0.5133
Ru_2@RuO2(001)_1#OOH,3.5214
RuO2(001)#O,1.8054
RuO2(001)#OH,0.5201
RuO2(001)#OOH,3.5277
RuO2(100)#O,1.5935
RuO2(100)#OH,0.4577
RuO2(100)#OOH,3.2594
RuO2(101)#O,1.7726
RuO2(101)#OH,0.4268
RuO2(101)#OOH,3.7628
RuO2(110)#O,1.5495
RuO2(110)#OH,0.3581
RuO2(110)#OOH,3.3199
RuO2(111)#O,1.6275
RuO2(111)#OH,0.4001
RuO2(111)#OOH,3.3797
Ti_1@IrO2(001)_1#OH,0.9412
Ti_1@IrO2(001)_1#OOH,3.8057
Ti_1@IrO2(100)_1#O,2.716
Ti_1@IrO2(100)_1#OH,0.5585
Ti_1@IrO2(100)_1#OOH,3.7456
Ti_1@IrO2(100)_2#O,1.7663
Ti_1@IrO2(100)_2#OH,0.1163
Ti_1@IrO2(100)_2#OOH,3.035
Ti_1@IrO2(101)_1#O,2.5731
Ti_1@IrO2(101)_1#OH,0.4176
Ti_1@IrO2(101)_1#OOH,3.7
Ti_1@IrO2(101)_2#O,1.9571
Ti_1@IrO2(101)_2#OH,0.2329
Ti_1@IrO2(110)_1#O,1.9916
Ti_1@IrO2(110)_1#OH,0.1899
Ti_1@IrO2(110)_1#OOH,3.4921
Ti_1@IrO2(110)_2#O,1.6387
Ti_1@IrO2(110)_2#OH,-0.0537
Ti_1@IrO2(110)_2#OOH,2.9823
Ti_1@IrO2(111)_1#O,2.8579
Ti_1@IrO2(111)_1#OH,0.516
Ti_1@IrO2(111)_1#OOH,3.6865
Ti_1@RuO2(001)_1#O,3.5984
Ti_1@RuO2(001)_1#OH,0.6409
Ti_1@RuO2(001)_1#OOH,3.6572
Ti_1@RuO2(100)_1#O,2.6249
Ti_1@RuO2(100)_1#OH,0.664
Ti_1@RuO2(100)_1#OOH,3.8811
Ti_1@RuO2(100)_2#O,1.9037
Ti_1@RuO2(100)_2#OH,0.5817
Ti_1@RuO2(100)_2#OOH,3.3915
Ti_1@RuO2(101)_1#O,2.4206
Ti_1@RuO2(101)_1#OH,0.6039
Ti_1@RuO2(101)_1#OOH,3.8597
Ti_1@RuO2(101)_2#O,1.5913
Ti_1@RuO2(101)_2#OH,0.3342
Ti_1@RuO2(101)_2#OOH,3.2303
Ti_1@RuO2(110)_1#O,2.2707
Ti_1@RuO2(110)_1#OH,0.4945
Ti_1@RuO2(110)_1#OOH,3.9024
Ti_1@RuO2(110)_2#O,1.6894
Ti_1@RuO2(110)_2#OH,0.4906
Ti_1@RuO2(110)_2#OOH,3.4752
Ti_1@RuO2(111)_1#O,2.345
Ti_1@RuO2(111)_1#OH,0.3953
Ti_1@RuO2(111)_1#OOH,3.6866
Ti_2@IrO2(001)_1#O,2.2951
Ti_2@IrO2(001)_1#OH,0.7904
Ti_2@IrO2(001)_1#OOH,3.75
Ti_2@IrO2(110)_1#O,1.6332
Ti_2@IrO2(110)_1#OH,-0.1844
Ti_2@IrO2(110)_1#OOH,2.76
Ti_2@IrO2(111)_1#O,1.5925
Ti_2@IrO2(111)_1#OH,0.1153
Ti_2@IrO2(111)_1#OOH,3.0965
Ti_2@RuO2(001)_1#O,1.6531
Ti_2@RuO2(001)_1#OH,0.3679
Ti_2@RuO2(001)_1#OOH,3.3515
Ti_2@RuO2(110)_1#O,1.5381
Ti_2@RuO2(110)_1#OH,0.3669
Ti_2@RuO2(110)_1#OOH,3.3211
Ti_2@RuO2(111)_1#O,1.141
Ti_2@RuO2(111)_1#OH,0.0376
Ti_2@RuO2(111)_1#OOH,3.288
W_1@IrO2(001)_1#O,1.5967
W_1@IrO2(001)_1#OH,-0.4096
W_1@IrO2(001)_1#OOH,2.9595
W_1@IrO2(100)_1#O,0.555
W_1@IrO2(100)_1#OH,-0.6634
W_1@IrO2(100)_1#OOH,2.8239
W_1@IrO2(100)_2#O,1.4621
W_1@IrO2(100)_2#OH,-0.2396
W_1@IrO2(100)_2#OOH,2.7919
W_1@IrO2(101)_1#O,0.0196
W_1@IrO2(101)_1#OH,-1.1656
W_1@IrO2(101)_1#OOH,2.3841
W_1@IrO2(101)_2#O,1.9805
W_1@IrO2(101)_2#OH,0.0887
W_1@IrO2(101)_2#OOH,2.9362
W_1@IrO2(110)_1#O,-0.0067
W_1@IrO2(110)_1#OH,-0.8312
